,GANomaly,DeepSAD,REPEN,DevNet,PReNet,FEAWAD,XGBOD
"('MVTec-AD_hazelnut', 0.0, 1)",4.091612339019775,,,,,,
"('MVTec-AD_hazelnut', 0.0, 2)",,,,,,,
"('MVTec-AD_hazelnut', 0.0, 3)",,,,,,,
"('MVTec-AD_hazelnut', 0.01, 1)",,,,,,,
"('MVTec-AD_hazelnut', 0.01, 2)",,,,,,,
"('MVTec-AD_hazelnut', 0.01, 3)",,,,,,,
"('MVTec-AD_hazelnut', 0.05, 1)",,,,,,,
"('MVTec-AD_hazelnut', 0.05, 2)",,,,,,,
"('MVTec-AD_hazelnut', 0.05, 3)",,,,,,,
"('MVTec-AD_hazelnut', 0.1, 1)",,,,,,,
"('MVTec-AD_hazelnut', 0.1, 2)",,,,,,,
"('MVTec-AD_hazelnut', 0.1, 3)",,,,,,,
"('MVTec-AD_hazelnut', 0.25, 1)",,,,,,,
"('MVTec-AD_hazelnut', 0.25, 2)",,,,,,,
"('MVTec-AD_hazelnut', 0.25, 3)",,,,,,,
"('MVTec-AD_hazelnut', 0.5, 1)",,,,,,,
"('MVTec-AD_hazelnut', 0.5, 2)",,,,,,,
"('MVTec-AD_hazelnut', 0.5, 3)",,,,,,,
"('MVTec-AD_hazelnut', 0.75, 1)",,,,,,,
"('MVTec-AD_hazelnut', 0.75, 2)",,,,,,,
"('MVTec-AD_hazelnut', 0.75, 3)",,,,,,,
"('MVTec-AD_hazelnut', 1.0, 1)",,,,,,,
"('MVTec-AD_hazelnut', 1.0, 2)",,,,,,,
"('MVTec-AD_hazelnut', 1.0, 3)",,,,,,,
"('45_wine', 0.0, 1)",,,,,,,
"('45_wine', 0.0, 2)",,,,,,,
"('45_wine', 0.0, 3)",,,,,,,
"('45_wine', 0.01, 1)",,,,,,,
"('45_wine', 0.01, 2)",,,,,,,
"('45_wine', 0.01, 3)",,,,,,,
"('45_wine', 0.05, 1)",,,,,,,
"('45_wine', 0.05, 2)",,,,,,,
"('45_wine', 0.05, 3)",,,,,,,
"('45_wine', 0.1, 1)",,,,,,,
"('45_wine', 0.1, 2)",,,,,,,
"('45_wine', 0.1, 3)",,,,,,,
"('45_wine', 0.25, 1)",,,,,,,
"('45_wine', 0.25, 2)",,,,,,,
"('45_wine', 0.25, 3)",,,,,,,
"('45_wine', 0.5, 1)",,,,,,,
"('45_wine', 0.5, 2)",,,,,,,
"('45_wine', 0.5, 3)",,,,,,,
"('45_wine', 0.75, 1)",,,,,,,
"('45_wine', 0.75, 2)",,,,,,,
"('45_wine', 0.75, 3)",,,,,,,
"('45_wine', 1.0, 1)",,,,,,,
"('45_wine', 1.0, 2)",,,,,,,
"('45_wine', 1.0, 3)",,,,,,,
"('39_vertebral', 0.0, 1)",,,,,,,
"('39_vertebral', 0.0, 2)",,,,,,,
"('39_vertebral', 0.0, 3)",,,,,,,
"('39_vertebral', 0.01, 1)",,,,,,,
"('39_vertebral', 0.01, 2)",,,,,,,
"('39_vertebral', 0.01, 3)",,,,,,,
"('39_vertebral', 0.05, 1)",,,,,,,
"('39_vertebral', 0.05, 2)",,,,,,,
"('39_vertebral', 0.05, 3)",,,,,,,
"('39_vertebral', 0.1, 1)",,,,,,,
"('39_vertebral', 0.1, 2)",,,,,,,
"('39_vertebral', 0.1, 3)",,,,,,,
"('39_vertebral', 0.25, 1)",,,,,,,
"('39_vertebral', 0.25, 2)",,,,,,,
"('39_vertebral', 0.25, 3)",,,,,,,
"('39_vertebral', 0.5, 1)",,,,,,,
"('39_vertebral', 0.5, 2)",,,,,,,
"('39_vertebral', 0.5, 3)",,,,,,,
"('39_vertebral', 0.75, 1)",,,,,,,
"('39_vertebral', 0.75, 2)",,,,,,,
"('39_vertebral', 0.75, 3)",,,,,,,
"('39_vertebral', 1.0, 1)",,,,,,,
"('39_vertebral', 1.0, 2)",,,,,,,
"('39_vertebral', 1.0, 3)",,,,,,,
"('46_WPBC', 0.0, 1)",,,,,,,
"('46_WPBC', 0.0, 2)",,,,,,,
"('46_WPBC', 0.0, 3)",,,,,,,
"('46_WPBC', 0.01, 1)",,,,,,,
"('46_WPBC', 0.01, 2)",,,,,,,
"('46_WPBC', 0.01, 3)",,,,,,,
"('46_WPBC', 0.05, 1)",,,,,,,
"('46_WPBC', 0.05, 2)",,,,,,,
"('46_WPBC', 0.05, 3)",,,,,,,
"('46_WPBC', 0.1, 1)",,,,,,,
"('46_WPBC', 0.1, 2)",,,,,,,
"('46_WPBC', 0.1, 3)",,,,,,,
"('46_WPBC', 0.25, 1)",,,,,,,
"('46_WPBC', 0.25, 2)",,,,,,,
"('46_WPBC', 0.25, 3)",,,,,,,
"('46_WPBC', 0.5, 1)",,,,,,,
"('46_WPBC', 0.5, 2)",,,,,,,
"('46_WPBC', 0.5, 3)",,,,,,,
"('46_WPBC', 0.75, 1)",,,,,,,
"('46_WPBC', 0.75, 2)",,,,,,,
"('46_WPBC', 0.75, 3)",,,,,,,
"('46_WPBC', 1.0, 1)",,,,,,,
"('46_WPBC', 1.0, 2)",,,,,,,
"('46_WPBC', 1.0, 3)",,,,,,,
"('37_Stamps', 0.0, 1)",,,,,,,
"('37_Stamps', 0.0, 2)",,,,,,,
"('37_Stamps', 0.0, 3)",,,,,,,
"('37_Stamps', 0.01, 1)",,,,,,,
"('37_Stamps', 0.01, 2)",,,,,,,
"('37_Stamps', 0.01, 3)",,,,,,,
"('37_Stamps', 0.05, 1)",,,,,,,
"('37_Stamps', 0.05, 2)",,,,,,,
"('37_Stamps', 0.05, 3)",,,,,,,
"('37_Stamps', 0.1, 1)",,,,,,,
"('37_Stamps', 0.1, 2)",,,,,,,
"('37_Stamps', 0.1, 3)",,,,,,,
"('37_Stamps', 0.25, 1)",,,,,,,
"('37_Stamps', 0.25, 2)",,,,,,,
"('37_Stamps', 0.25, 3)",,,,,,,
"('37_Stamps', 0.5, 1)",,,,,,,
"('37_Stamps', 0.5, 2)",,,,,,,
"('37_Stamps', 0.5, 3)",,,,,,,
"('37_Stamps', 0.75, 1)",,,,,,,
"('37_Stamps', 0.75, 2)",,,,,,,
"('37_Stamps', 0.75, 3)",,,,,,,
"('37_Stamps', 1.0, 1)",,,,,,,
"('37_Stamps', 1.0, 2)",,,,,,,
"('37_Stamps', 1.0, 3)",,,,,,,
"('4_breastw', 0.0, 1)",,,,,,,
"('4_breastw', 0.0, 2)",,,,,,,
"('4_breastw', 0.0, 3)",,,,,,,
"('4_breastw', 0.01, 1)",,,,,,,
"('4_breastw', 0.01, 2)",,,,,,,
"('4_breastw', 0.01, 3)",,,,,,,
"('4_breastw', 0.05, 1)",,,,,,,
"('4_breastw', 0.05, 2)",,,,,,,
"('4_breastw', 0.05, 3)",,,,,,,
"('4_breastw', 0.1, 1)",,,,,,,
"('4_breastw', 0.1, 2)",,,,,,,
"('4_breastw', 0.1, 3)",,,,,,,
"('4_breastw', 0.25, 1)",,,,,,,
"('4_breastw', 0.25, 2)",,,,,,,
"('4_breastw', 0.25, 3)",,,,,,,
"('4_breastw', 0.5, 1)",,,,,,,
"('4_breastw', 0.5, 2)",,,,,,,
"('4_breastw', 0.5, 3)",,,,,,,
"('4_breastw', 0.75, 1)",,,,,,,
"('4_breastw', 0.75, 2)",,,,,,,
"('4_breastw', 0.75, 3)",,,,,,,
"('4_breastw', 1.0, 1)",,,,,,,
"('4_breastw', 1.0, 2)",,,,,,,
"('4_breastw', 1.0, 3)",,,,,,,
"('20news_3', 0.0, 1)",,,,,,,
"('20news_3', 0.0, 2)",,,,,,,
"('20news_3', 0.0, 3)",,,,,,,
"('20news_3', 0.01, 1)",,,,,,,
"('20news_3', 0.01, 2)",,,,,,,
"('20news_3', 0.01, 3)",,,,,,,
"('20news_3', 0.05, 1)",,,,,,,
"('20news_3', 0.05, 2)",,,,,,,
"('20news_3', 0.05, 3)",,,,,,,
"('20news_3', 0.1, 1)",,,,,,,
"('20news_3', 0.1, 2)",,,,,,,
"('20news_3', 0.1, 3)",,,,,,,
"('20news_3', 0.25, 1)",,,,,,,
"('20news_3', 0.25, 2)",,,,,,,
"('20news_3', 0.25, 3)",,,,,,,
"('20news_3', 0.5, 1)",,,,,,,
"('20news_3', 0.5, 2)",,,,,,,
"('20news_3', 0.5, 3)",,,,,,,
"('20news_3', 0.75, 1)",,,,,,,
"('20news_3', 0.75, 2)",,,,,,,
"('20news_3', 0.75, 3)",,,,,,,
"('20news_3', 1.0, 1)",,,,,,,
"('20news_3', 1.0, 2)",,,,,,,
"('20news_3', 1.0, 3)",,,,,,,
"('MVTec-AD_grid', 0.0, 1)",,,,,,,
"('MVTec-AD_grid', 0.0, 2)",,,,,,,
"('MVTec-AD_grid', 0.0, 3)",,,,,,,
"('MVTec-AD_grid', 0.01, 1)",,,,,,,
"('MVTec-AD_grid', 0.01, 2)",,,,,,,
"('MVTec-AD_grid', 0.01, 3)",,,,,,,
"('MVTec-AD_grid', 0.05, 1)",,,,,,,
"('MVTec-AD_grid', 0.05, 2)",,,,,,,
"('MVTec-AD_grid', 0.05, 3)",,,,,,,
"('MVTec-AD_grid', 0.1, 1)",,,,,,,
"('MVTec-AD_grid', 0.1, 2)",,,,,,,
"('MVTec-AD_grid', 0.1, 3)",,,,,,,
"('MVTec-AD_grid', 0.25, 1)",,,,,,,
"('MVTec-AD_grid', 0.25, 2)",,,,,,,
"('MVTec-AD_grid', 0.25, 3)",,,,,,,
"('MVTec-AD_grid', 0.5, 1)",,,,,,,
"('MVTec-AD_grid', 0.5, 2)",,,,,,,
"('MVTec-AD_grid', 0.5, 3)",,,,,,,
"('MVTec-AD_grid', 0.75, 1)",,,,,,,
"('MVTec-AD_grid', 0.75, 2)",,,,,,,
"('MVTec-AD_grid', 0.75, 3)",,,,,,,
"('MVTec-AD_grid', 1.0, 1)",,,,,,,
"('MVTec-AD_grid', 1.0, 2)",,,,,,,
"('MVTec-AD_grid', 1.0, 3)",,,,,,,
"('MVTec-AD_zipper', 0.0, 1)",,,,,,,
"('MVTec-AD_zipper', 0.0, 2)",,,,,,,
"('MVTec-AD_zipper', 0.0, 3)",,,,,,,
"('MVTec-AD_zipper', 0.01, 1)",,,,,,,
"('MVTec-AD_zipper', 0.01, 2)",,,,,,,
"('MVTec-AD_zipper', 0.01, 3)",,,,,,,
"('MVTec-AD_zipper', 0.05, 1)",,,,,,,
"('MVTec-AD_zipper', 0.05, 2)",,,,,,,
"('MVTec-AD_zipper', 0.05, 3)",,,,,,,
"('MVTec-AD_zipper', 0.1, 1)",,,,,,,
"('MVTec-AD_zipper', 0.1, 2)",,,,,,,
"('MVTec-AD_zipper', 0.1, 3)",,,,,,,
"('MVTec-AD_zipper', 0.25, 1)",,,,,,,
"('MVTec-AD_zipper', 0.25, 2)",,,,,,,
"('MVTec-AD_zipper', 0.25, 3)",,,,,,,
"('MVTec-AD_zipper', 0.5, 1)",,,,,,,
"('MVTec-AD_zipper', 0.5, 2)",,,,,,,
"('MVTec-AD_zipper', 0.5, 3)",,,,,,,
"('MVTec-AD_zipper', 0.75, 1)",,,,,,,
"('MVTec-AD_zipper', 0.75, 2)",,,,,,,
"('MVTec-AD_zipper', 0.75, 3)",,,,,,,
"('MVTec-AD_zipper', 1.0, 1)",,,,,,,
"('MVTec-AD_zipper', 1.0, 2)",,,,,,,
"('MVTec-AD_zipper', 1.0, 3)",,,,,,,
"('MVTec-AD_wood', 0.0, 1)",,,,,,,
"('MVTec-AD_wood', 0.0, 2)",,,,,,,
"('MVTec-AD_wood', 0.0, 3)",,,,,,,
"('MVTec-AD_wood', 0.01, 1)",,,,,,,
