iter	Passed	Remaining
0	47	47100
1	47	23871
2	48	16127
3	50	12639
4	53	10639
5	56	9357
6	58	8354
7	60	7553
8	63	6994
9	65	6508
10	67	6072
11	69	5722
12	71	5433
13	73	5161
14	75	4926
15	76	4710
16	78	4518
17	79	4353
18	81	4203
19	82	4056
20	84	3920
21	85	3795
22	86	3680
23	87	3575
24	89	3478
25	90	3387
26	91	3308
27	93	3237
28	94	3167
29	95	3098
30	97	3042
31	98	2982
32	99	2925
33	100	2866
34	101	2809
35	102	2755
36	103	2705
37	105	2661
38	106	2614
39	107	2569
40	108	2531
41	109	2488
42	109	2446
43	110	2406
44	111	2368
45	112	2332
46	113	2295
47	113	2259
48	114	2224
49	115	2190
50	115	2157
51	116	2126
52	117	2095
53	117	2065
54	118	2036
55	119	2008
56	119	1982
57	120	1956
58	121	1931
59	121	1907
60	122	1883
61	123	1860
62	123	1838
63	124	1817
64	124	1796
65	125	1776
66	126	1756
67	126	1737
68	127	1719
69	128	1701
70	128	1683
71	129	1666
72	129	1650
73	130	1634
74	131	1618
75	131	1603
76	132	1588
77	133	1574
78	133	1559
79	134	1545
80	135	1532
81	135	1519
82	136	1506
83	136	1493
84	137	1481
85	138	1468
86	138	1457
87	139	1445
88	140	1434
89	140	1423
90	141	1412
91	141	1401
92	142	1390
93	143	1380
94	143	1370
95	144	1360
96	145	1351
97	145	1342
98	146	1332
99	147	1323
100	147	1314
101	148	1305
102	148	1297
103	149	1288
104	150	1280
105	150	1272
106	151	1264
107	152	1256
108	152	1248
109	153	1240
110	154	1233
111	154	1226
112	155	1219
113	155	1212
114	156	1205
115	157	1198
116	157	1191
117	158	1184
118	159	1178
119	159	1171
120	160	1165
121	161	1159
122	161	1153
123	162	1147
124	163	1141
125	163	1135
126	164	1129
127	164	1123
128	165	1117
129	166	1112
130	166	1106
131	167	1101
132	168	1095
133	168	1090
134	169	1085
135	169	1079
136	170	1074
137	171	1069
138	171	1064
139	172	1059
140	173	1054
141	173	1049
142	174	1044
143	174	1039
144	175	1035
145	176	1030
146	176	1026
147	177	1021
148	178	1017
149	178	1012
150	179	1008
151	179	1004
152	180	999
153	181	995
154	181	991
155	182	987
156	183	983
157	183	979
158	184	975
159	185	971
160	185	967
161	186	963
162	186	959
163	187	956
164	188	952
165	188	948
166	189	944
167	190	941
168	190	937
169	191	934
170	191	930
171	192	926
172	193	923
173	193	919
174	194	916
175	195	913
176	195	909
177	196	906
178	196	903
179	197	900
180	198	896
181	198	893
182	199	890
183	200	887
184	200	884
185	201	881
186	202	878
