Accuracy,F1,Precision,Recall,Dataset
0.999,0.999,0.999,0.999,../datasets/multi_class/drybean.csv
0.873,0.873,0.873,0.873,../datasets/multi_class/obesity.csv
0.851,0.851,0.852,0.851,../datasets/multi_class/balita.csv
0.771,0.771,0.771,0.771,../datasets/multi_class/apple.csv
0.757,0.765,0.777,0.757,../datasets/multi_class/adult.csv
0.555,0.554,0.553,0.555,../datasets/multi_class/body.csv
0.742,0.742,0.742,0.742,../datasets/multi_class/online.csv
0.876,0.876,0.875,0.876,../datasets/multi_class/star.csv
0.805,0.804,0.804,0.805,../datasets/multi_class/Student.csv
0.882,0.882,0.882,0.882,../datasets/real_outlier/Cardiotocography.csv
0.949,0.949,0.949,0.949,../datasets/real_outlier/annthyroid.csv
0.991,0.991,0.991,0.991,../datasets/real_outlier/optdigits.csv
0.938,0.937,0.937,0.938,../datasets/real_outlier//PageBlocks.csv
0.994,0.994,0.994,0.994,../datasets/real_outlier/pendigits.csv
0.848,0.848,0.848,0.848,../datasets/real_outlier/satellite.csv
0.996,0.996,0.996,0.996,../datasets/real_outlier/shuttle.csv
0.693,0.69,0.688,0.693,../datasets/real_outlier/yeast.csv
