Accuracy,F1,Precision,Recall,Dataset
0.999,0.999,0.999,0.999,../datasets/multi_class/drybean.csv
0.833,0.834,0.841,0.833,../datasets/multi_class/obesity.csv
0.567,0.474,0.408,0.567,../datasets/multi_class/balita.csv
0.739,0.739,0.739,0.739,../datasets/multi_class/apple.csv
0.763,0.772,0.786,0.763,../datasets/multi_class/adult.csv
0.53,0.52,0.517,0.53,../datasets/multi_class/body.csv
0.767,0.761,0.786,0.767,../datasets/multi_class/online.csv
0.605,0.61,0.643,0.605,../datasets/multi_class/star.csv
0.698,0.684,0.676,0.698,../datasets/multi_class/Student.csv
0.838,0.835,0.833,0.838,../datasets/real_outlier/Cardiotocography.csv
0.922,0.914,0.909,0.922,../datasets/real_outlier/annthyroid.csv
0.978,0.98,0.985,0.978,../datasets/real_outlier/optdigits.csv
0.862,0.868,0.875,0.862,../datasets/real_outlier//PageBlocks.csv
0.986,0.987,0.99,0.986,../datasets/real_outlier/pendigits.csv
0.767,0.766,0.765,0.767,../datasets/real_outlier/satellite.csv
0.987,0.988,0.988,0.987,../datasets/real_outlier/shuttle.csv
0.511,0.513,0.649,0.511,../datasets/real_outlier/yeast.csv
