Accuracy,F1,Precision,Recall,Dataset
0.999,0.999,0.999,0.999,../datasets/multi_class/drybean.csv
0.9,0.899,0.9,0.9,../datasets/multi_class/obesity.csv
0.786,0.792,0.818,0.786,../datasets/multi_class/balita.csv
0.833,0.832,0.834,0.833,../datasets/multi_class/apple.csv
0.775,0.787,0.817,0.775,../datasets/multi_class/adult.csv
0.654,0.65,0.65,0.654,../datasets/multi_class/body.csv
0.824,0.824,0.824,0.824,../datasets/multi_class/online.csv
0.901,0.901,0.901,0.901,../datasets/multi_class/star.csv
0.819,0.82,0.824,0.819,../datasets/multi_class/Student.csv
0.921,0.921,0.92,0.921,../datasets/real_outlier/Cardiotocography.csv
0.95,0.953,0.96,0.95,../datasets/real_outlier/annthyroid.csv
0.998,0.998,0.998,0.998,../datasets/real_outlier/optdigits.csv
0.956,0.955,0.955,0.956,../datasets/real_outlier//PageBlocks.csv
0.997,0.997,0.997,0.997,../datasets/real_outlier/pendigits.csv
0.889,0.889,0.888,0.889,../datasets/real_outlier/satellite.csv
0.997,0.997,0.997,0.997,../datasets/real_outlier/shuttle.csv
0.679,0.685,0.695,0.679,../datasets/real_outlier/yeast.csv
