Accuracy,F1,Precision,Recall,Dataset
0.999,0.999,0.999,0.999,../datasets/multi_class/drybean.csv
0.9,0.899,0.9,0.9,../datasets/multi_class/obesity.csv
0.786,0.792,0.818,0.786,../datasets/multi_class/balita.csv
0.828,0.828,0.83,0.828,../datasets/multi_class/apple.csv
0.777,0.789,0.819,0.777,../datasets/multi_class/adult.csv
0.645,0.64,0.641,0.645,../datasets/multi_class/body.csv
0.82,0.82,0.821,0.82,../datasets/multi_class/online.csv
0.899,0.899,0.899,0.899,../datasets/multi_class/star.csv
0.819,0.82,0.824,0.819,../datasets/multi_class/Student.csv
0.931,0.929,0.929,0.931,../datasets/real_outlier/Cardiotocography.csv
0.949,0.952,0.959,0.949,../datasets/real_outlier/annthyroid.csv
0.998,0.998,0.998,0.998,../datasets/real_outlier/optdigits.csv
0.956,0.955,0.955,0.956,../datasets/real_outlier//PageBlocks.csv
0.997,0.997,0.997,0.997,../datasets/real_outlier/pendigits.csv
0.881,0.88,0.88,0.881,../datasets/real_outlier/satellite.csv
0.998,0.997,0.997,0.998,../datasets/real_outlier/shuttle.csv
0.7,0.702,0.705,0.7,../datasets/real_outlier/yeast.csv
