Accuracy,F1,Precision,Recall,Dataset
0.999,0.999,0.999,0.999,../datasets/multi_class/drybean.csv
0.9,0.899,0.9,0.9,../datasets/multi_class/obesity.csv
0.786,0.792,0.818,0.786,../datasets/multi_class/balita.csv
0.821,0.821,0.824,0.821,../datasets/multi_class/apple.csv
0.772,0.784,0.814,0.772,../datasets/multi_class/adult.csv
0.649,0.644,0.645,0.649,../datasets/multi_class/body.csv
0.821,0.821,0.822,0.821,../datasets/multi_class/online.csv
0.899,0.899,0.9,0.899,../datasets/multi_class/star.csv
0.825,0.824,0.827,0.825,../datasets/multi_class/Student.csv
0.921,0.921,0.92,0.921,../datasets/real_outlier/Cardiotocography.csv
0.948,0.952,0.96,0.948,../datasets/real_outlier/annthyroid.csv
0.998,0.998,0.998,0.998,../datasets/real_outlier/optdigits.csv
0.957,0.956,0.956,0.957,../datasets/real_outlier//PageBlocks.csv
0.997,0.997,0.997,0.997,../datasets/real_outlier/pendigits.csv
0.882,0.881,0.881,0.882,../datasets/real_outlier/satellite.csv
0.998,0.997,0.997,0.998,../datasets/real_outlier/shuttle.csv
0.691,0.69,0.689,0.691,../datasets/real_outlier/yeast.csv
