Accuracy,F1,Precision,Recall,Dataset
1,1,1,1,../datasets/multi_class/drybean.csv
0.883,0.883,0.883,0.883,../datasets/multi_class/obesity.csv
0.848,0.848,0.849,0.848,../datasets/multi_class/balita.csv
0.749,0.749,0.75,0.749,../datasets/multi_class/apple.csv
0.75,0.758,0.771,0.75,../datasets/multi_class/adult.csv
0.576,0.575,0.575,0.576,../datasets/multi_class/body.csv
0.743,0.743,0.743,0.743,../datasets/multi_class/online.csv
0.876,0.876,0.876,0.876,../datasets/multi_class/star.csv
0.806,0.806,0.807,0.806,../datasets/multi_class/Student.csv
0.877,0.878,0.878,0.877,../datasets/real_outlier/Cardiotocography.csv
0.954,0.953,0.952,0.954,../datasets/real_outlier/annthyroid.csv
0.991,0.991,0.991,0.991,../datasets/real_outlier/optdigits.csv
0.936,0.934,0.933,0.936,../datasets/real_outlier//PageBlocks.csv
0.994,0.994,0.994,0.994,../datasets/real_outlier/pendigits.csv
0.846,0.846,0.846,0.846,../datasets/real_outlier/satellite.csv
0.996,0.996,0.996,0.996,../datasets/real_outlier/shuttle.csv
0.641,0.646,0.652,0.641,../datasets/real_outlier/yeast.csv
