Accuracy,F1,Precision,Recall,Dataset
0.999,0.999,0.999,0.999,../datasets/multi_class/drybean.csv
0.787,0.784,0.795,0.787,../datasets/multi_class/obesity.csv
0.647,0.614,0.594,0.647,../datasets/multi_class/balita.csv
0.738,0.738,0.739,0.738,../datasets/multi_class/apple.csv
0.68,0.704,0.785,0.68,../datasets/multi_class/adult.csv
0.555,0.525,0.525,0.555,../datasets/multi_class/body.csv
0.743,0.743,0.754,0.743,../datasets/multi_class/online.csv
0.803,0.804,0.806,0.803,../datasets/multi_class/star.csv
0.625,0.616,0.619,0.625,../datasets/multi_class/Student.csv
0.855,0.862,0.884,0.855,../datasets/real_outlier/Cardiotocography.csv
0.865,0.886,0.922,0.865,../datasets/real_outlier/annthyroid.csv
0.992,0.992,0.994,0.992,../datasets/real_outlier/optdigits.csv
0.881,0.895,0.923,0.881,../datasets/real_outlier//PageBlocks.csv
0.966,0.972,0.984,0.966,../datasets/real_outlier/pendigits.csv
0.825,0.824,0.823,0.825,../datasets/real_outlier/satellite.csv
0.989,0.989,0.99,0.989,../datasets/real_outlier/shuttle.csv
0.646,0.657,0.698,0.646,../datasets/real_outlier/yeast.csv
