Accuracy,F1,Precision,Recall,Dataset
0.999,0.999,0.999,0.999,../datasets/multi_class/drybean.csv
0.883,0.883,0.883,0.883,../datasets/multi_class/obesity.csv
0.849,0.85,0.85,0.849,../datasets/multi_class/balita.csv
0.772,0.773,0.773,0.772,../datasets/multi_class/apple.csv
0.754,0.762,0.773,0.754,../datasets/multi_class/adult.csv
0.56,0.558,0.557,0.56,../datasets/multi_class/body.csv
0.737,0.736,0.736,0.737,../datasets/multi_class/online.csv
0.878,0.878,0.878,0.878,../datasets/multi_class/star.csv
0.806,0.806,0.807,0.806,../datasets/multi_class/Student.csv
0.879,0.879,0.879,0.879,../datasets/real_outlier/Cardiotocography.csv
0.953,0.952,0.951,0.953,../datasets/real_outlier/annthyroid.csv
0.991,0.991,0.991,0.991,../datasets/real_outlier/optdigits.csv
0.936,0.935,0.934,0.936,../datasets/real_outlier//PageBlocks.csv
0.994,0.994,0.994,0.994,../datasets/real_outlier/pendigits.csv
0.856,0.856,0.855,0.856,../datasets/real_outlier/satellite.csv
0.996,0.996,0.996,0.996,../datasets/real_outlier/shuttle.csv
0.641,0.645,0.651,0.641,../datasets/real_outlier/yeast.csv
