Accuracy,F1,Precision,Recall,Dataset
0.999,0.999,0.999,0.999,../datasets/multi_class/drybean.csv
0.88,0.88,0.882,0.88,../datasets/multi_class/obesity.csv
0.607,0.506,0.439,0.607,../datasets/multi_class/balita.csv
0.742,0.741,0.747,0.742,../datasets/multi_class/apple.csv
0.764,0.662,0.584,0.764,../datasets/multi_class/adult.csv
0.582,0.579,0.579,0.582,../datasets/multi_class/body.csv
0.766,0.765,0.767,0.766,../datasets/multi_class/online.csv
0.816,0.812,0.813,0.816,../datasets/multi_class/star.csv
0.741,0.719,0.701,0.741,../datasets/multi_class/Student.csv
0.888,0.885,0.885,0.888,../datasets/real_outlier/Cardiotocography.csv
0.934,0.912,0.936,0.934,../datasets/real_outlier/annthyroid.csv
0.994,0.995,0.995,0.994,../datasets/real_outlier/optdigits.csv
0.916,0.897,0.912,0.916,../datasets/real_outlier//PageBlocks.csv
0.991,0.991,0.991,0.991,../datasets/real_outlier/pendigits.csv
0.848,0.839,0.853,0.848,../datasets/real_outlier/satellite.csv
0.996,0.996,0.996,0.996,../datasets/real_outlier/shuttle.csv
0.659,0.524,0.435,0.659,../datasets/real_outlier/yeast.csv
