F1,Precision,Recall,Dataset
1,1,1,../datasets/multi_class/drybean.csv
0.887,0.889,0.887,../datasets/multi_class/obesity.csv
0.522,0.451,0.623,../datasets/multi_class/balita.csv
0.745,0.75,0.745,../datasets/multi_class/apple.csv
0.662,0.584,0.764,../datasets/multi_class/adult.csv
0.572,0.571,0.575,../datasets/multi_class/body.csv
0.767,0.77,0.769,../datasets/multi_class/online.csv
0.81,0.812,0.814,../datasets/multi_class/star.csv
0.741,0.726,0.762,../datasets/multi_class/Student.csv
0.877,0.88,0.883,../datasets/real_outlier/Cardiotocography.csv
0.911,0.935,0.933,../datasets/real_outlier/annthyroid.csv
0.996,0.996,0.996,../datasets/real_outlier/optdigits.csv
0.898,0.916,0.917,../datasets/real_outlier//PageBlocks.csv
0.991,0.991,0.991,../datasets/real_outlier/pendigits.csv
0.842,0.855,0.851,../datasets/real_outlier/satellite.csv
0.997,0.997,0.997,../datasets/real_outlier/shuttle.csv
0.524,0.435,0.659,../datasets/real_outlier/yeast.csv
