iter	Passed	Remaining
0	1	1683
1	2	1329
2	3	1198
3	4	1132
4	5	1098
5	6	1073
6	7	1050
7	8	1035
8	9	1026
9	10	1017
10	11	1016
11	12	1011
12	13	1009
13	14	1006
14	15	1004
15	16	1003
16	18	1057
17	19	1054
18	20	1052
19	21	1048
20	22	1044
21	23	1041
22	24	1037
23	25	1035
24	26	1033
25	27	1030
26	28	1027
27	29	1023
28	30	1021
29	31	1019
30	32	1017
31	33	1013
32	34	1010
33	35	1008
34	36	1006
35	37	1004
36	38	1001
37	39	998
38	40	996
39	41	993
40	42	991
41	43	989
42	44	987
43	45	985
44	46	984
45	47	982
46	48	980
47	49	978
48	50	976
49	51	975
50	52	972
51	53	970
52	54	968
53	55	966
54	56	964
55	57	962
56	58	961
57	59	958
58	59	956
59	60	955
60	61	953
61	62	952
62	63	950
63	64	949
64	65	947
65	66	945
66	67	943
67	68	941
68	69	939
69	70	938
70	71	936
71	72	935
72	73	933
73	74	932
74	75	930
75	76	928
76	77	927
77	78	925
78	79	924
79	80	923
80	81	921
81	82	921
82	83	919
83	84	918
84	85	916
85	86	915
86	87	914
87	88	912
88	89	911
89	89	909
90	90	908
91	91	906
92	92	905
93	93	903
94	94	902
95	95	900
96	96	899
97	97	898
98	98	896
99	99	895
100	100	894
101	101	892
102	102	891
103	103	889
104	104	889
105	105	888
106	106	886
107	107	885
108	108	884
109	109	882
110	110	881
111	111	880
112	111	878
113	112	877
114	113	876
115	114	875
116	115	874
117	116	873
118	117	871
119	118	870
120	119	869
121	120	867
122	121	866
123	122	865
124	123	863
125	124	862
126	125	861
127	126	860
128	127	858
129	128	857
130	129	856
131	130	855
132	131	854
133	132	853
134	133	852
135	134	851
136	134	850
137	135	848
138	136	848
139	137	846
140	138	845
141	139	844
142	140	843
143	141	842
144	142	841
145	143	840
146	144	839
147	145	837
148	146	836
149	147	835
150	148	834
151	149	833
152	150	832
153	151	831
154	152	829
155	153	828
156	154	827
157	155	826
158	156	825
159	156	824
160	157	822
161	158	822
162	159	820
163	160	819
164	161	818
165	162	817
166	163	816
167	164	815
168	165	814
169	166	813
170	167	812
171	168	811
172	169	810
173	170	809
174	171	807
175	172	806
176	173	805
177	174	804
178	175	803
179	176	802
180	177	801
181	178	800
182	179	799
183	180	798
184	181	797
185	181	796
186	182	795
187	183	794
188	184	792
189	185	791
190	186	790
191	187	789
192	188	788
193	189	787
194	190	786
195	191	785
196	192	784
197	193	783
198	194	781
199	195	780
200	196	779
201	197	778
202	198	777
203	199	776
204	200	775
205	200	774
206	201	773
207	202	772
208	203	771
209	204	770
210	205	769
211	206	768
212	207	767
213	208	766
214	209	765
215	210	764
216	211	763
217	212	761
218	213	760
219	214	759
220	215	758
221	216	757
222	217	756
223	218	755
224	219	754
225	219	753
226	220	752
227	221	751
228	222	750
229	223	749
230	224	748
231	225	747
232	226	746
233	227	745
234	228	743
235	229	742
236	230	741
237	231	740
238	232	739
239	233	738
240	234	737
241	235	736
242	236	735
243	237	734
244	238	733
245	238	732
246	239	731
247	240	730
248	241	729
249	242	728
250	243	727
251	244	726
252	245	725
253	246	724
254	247	723
255	248	722
256	249	721
257	250	720
258	251	719
259	252	718
260	253	717
261	254	716
262	255	715
263	256	714
264	257	713
265	258	712
266	259	711
267	260	710
268	261	709
269	262	708
270	263	707
271	263	706
272	264	705
273	265	704
274	266	703
275	267	702
276	268	701
277	269	700
278	270	699
279	271	698
280	272	697
281	273	696
282	274	695
283	275	694
284	276	693
285	277	692
286	278	691
287	279	690
288	280	689
289	281	688
290	282	687
291	283	686
292	283	685
293	284	684
294	285	683
295	286	682
296	287	681
297	288	680
298	289	679
299	290	678
300	291	677
301	292	676
302	293	675
303	294	674
304	295	673
305	296	672
306	297	671
307	298	670
308	299	669
309	300	668
310	301	667
311	302	666
312	303	665
313	304	664
314	305	663
315	306	662
316	307	661
317	307	660
318	308	659
319	309	658
320	310	657
321	311	656
322	312	655
323	313	654
324	314	653
325	315	652
326	316	651
327	317	650
328	318	649
329	319	648
330	320	647
331	321	646
332	322	645
333	323	644
334	324	643
335	325	642
336	326	641
337	327	640
338	328	639
339	329	638
340	330	637
341	331	636
342	331	635
343	332	634
344	333	633
345	334	632
346	335	631
347	336	630
348	337	629
349	338	628
350	339	627
351	340	626
352	341	625
353	342	624
354	343	623
355	344	622
356	345	621
357	346	620
358	347	619
359	348	618
360	349	617
361	349	616
362	350	615
363	351	614
364	352	613
365	353	612
366	354	611
367	355	610
368	356	610
369	357	608
370	358	608
371	359	607
372	360	606
373	361	605
374	362	604
375	363	603
376	364	602
377	365	601
378	366	600
379	367	599
380	368	598
381	369	597
382	370	596
383	371	595
384	371	594
385	372	593
386	373	592
387	374	591
388	375	590
389	376	589
390	377	588
391	378	587
392	379	586
393	380	585
394	381	584
395	382	583
396	383	582
397	384	581
398	385	580
399	386	579
400	387	578
401	388	577
402	389	576
403	390	575
404	390	574
405	391	573
406	392	572
407	393	571
408	394	570
409	395	569
410	396	568
411	397	567
412	398	566
413	399	565
414	400	564
415	401	563
416	402	562
417	403	561
418	404	560
419	405	559
420	406	558
421	407	557
422	408	556
423	409	556
424	410	555
425	411	554
426	412	553
427	413	552
428	414	551
429	415	550
430	415	549
431	416	548
432	417	547
433	418	546
434	419	545
435	420	544
436	421	543
437	422	542
438	423	541
439	424	540
440	425	539
441	426	538
442	427	537
443	428	536
444	429	535
445	430	534
446	431	533
447	432	532
448	433	531
449	434	530
450	435	529
451	436	528
452	437	527
453	438	526
454	439	526
455	440	525
456	441	524
457	441	523
458	442	522
459	443	521
460	444	520
461	445	519
462	446	518
